診所名稱,搜尋行政區,診所類別,營業狀態,地址,電話,資料更新時間
廖長州婦產科診所,台中市西區,婦產科,休息中/未營業,向上路一段40之1號已打烊,04 2302 2525,2026-09-10 05:27
施英富婦產科診所,台中市西區,婦產科,休息中/未營業,東興路三段230號已打烊,04 2329 3176,2026-09-10 05:27
廖瓊玲婦產科診所,台中市西區,婦產科,休息中/未營業,向上路一段291號已打烊,04 2301 1617,2026-09-10 05:27
三泰婦產科內兒科聯合診所SanTai Clinic,台中市西區,婦產科,休息中/未營業,向上路一段268號一樓已打烊,04 2301 5377,2026-09-10 05:27
維倩婦產科診所,台中市西區,婦產科,休息中/未營業,東興路二段90號已打烊,04 2472 3520,2026-09-10 05:27
陳世杰診所,台中市西區,婦產科,休息中/未營業,中美街155號已打烊,04 2305 8331,2026-09-10 05:27
美村婦產科 生殖試管嬰兒中心,台中市西區,婦產科,休息中/未營業,美村路一段588號已打烊,04 2378 7212,2026-09-10 05:27
新奇美診所,台中市西區,婦產科,休息中/未營業,忠明路1號已打烊,04 2311 9885,2026-09-10 05:27
婦欣診所,台中市西區,婦產科,休息中/未營業,西屯路二段101-5號已打烊,04 2313 0558,2026-09-10 05:27
葉祥禎婦產科,台中市西區,婦產科,未知,五權路,,2026-09-10 05:27
廖述達婦產科,台中市西區,婦產科,休息中/未營業,西屯路二段32之9巷9號已打烊,04 2314 7805,2026-09-10 05:27
丁鴻志婦產科診所電話關懷中心,台中市西區,婦產科,未知,台中市西區,070 1018 0189,2026-09-10 05:27
張帆婦產科診所,台中市西區,婦產科,休息中/未營業,臺灣大道三段566號已打烊,04 2451 3833,2026-09-10 05:27
台中晶鑽診所,台中市西區,醫學美容,營業中,公益路130號B1營業中,04 2319 5800,2026-09-10 05:27
美型植髮診所,台中市西區,醫學美容,營業中,文心路二段562號2樓營業中,080 000 0440,2026-09-10 05:27
【靚采美學診所】美療室 均無監視器 好安心 | 女院長 蝴蝶電波 取得原廠認證 | 海神/真空 雙機除毛 | 美國原裝 蜂巢皮秒 | 海芙音波 | G緊雷射 | 玩美電波 | 肉毒玻尿酸 | 一人一室 隱私佳 | 停車場 | 台中醫美推薦,台中市西區,醫學美容,營業中,公益路387號營業中,04 2320 8366,2026-09-10 05:27
Twenty Beauty 貳蒔美學,台中市西區,美容,營業中,民權路213巷1號營業中,,2026-09-10 05:27
悠然美學BlueSPA｜台中按摩｜做臉｜芳療｜撥筋｜耳燭｜刮痧｜SPA首選｜完全預約制,台中市西區,美容,營業中,民權路213巷5-1號3樓營業中,,2026-09-10 05:27
T&I 美肌空間｜T&I Skin Studio,台中市西區,美容,未知,向上北路102號2樓,,2026-09-10 05:27
金俐原萃,台中市西區,美容,營業中,美村路一段254號4F營業中,,2026-09-10 05:27
芮薇荷夢幻森林spa 台中店,台中市西區,美容,營業中,明義街51號營業中,,2026-09-10 05:27
羅麗芬美容美體 - 台中店,台中市西區,美容,營業中,精誠路233號營業中,,2026-09-10 05:27
佐登妮絲專業SPA_台中向上店,台中市西區,美容,營業中,向上路一段54號營業中,,2026-09-10 05:27
臉霸,台中市西區,美容,營業中,五權路2-205號營業中,,2026-09-10 05:27
柚芙_美容美體spa,台中市西區,美容,營業中,五廊街55號營業中,,2026-09-10 05:27
東森自然美 台中民權店,台中市西區,美容,營業中,民權路233巷7號營業中,,2026-09-10 05:27
樂米美學 日式美肌淨毛｜私密處除毛 ｜無痛除毛｜冰肌除毛｜女性專屬工作室|官方line:@181yoawg,台中市西區,美容,營業中,模範街24巷10號營業中,,2026-09-10 05:27
Rae瑞伊美甲,台中市西區,美容,營業中,五權路56-3號營業中,,2026-09-10 05:27
美姿舫spa養生會館,台中市西區,美容,營業中,向上路一段27-9號營業中,,2026-09-10 05:27
Hairm’s Salon 台中勤美店 台中市西區染髮 台中網友推薦髮廊｜推薦手刷染｜光線染髮｜好評漂髮｜專業髮型設計師,台中市西區,美容,營業中,模範街35號B1營業中,,2026-09-10 05:27
SIAO SIANG 驤美學｜肌膚管理,台中市西區,皮膚管理,營業中,民族路279號4樓營業中,,2026-09-10 05:27
膚希韓式皮膚管理中心,台中市西區,皮膚管理,營業中,大墩十四街238-1號營業中,,2026-09-10 05:27
李魚Liyu｜做臉 皮膚管理 霧眉（採預約制）,台中市西區,皮膚管理,未知,"3樓, No. 3號華美街32巷",,2026-09-10 05:27
JC喬琳/JC肌膚管理中心,台中市西區,皮膚管理,營業中,大正街6號6樓營業中,,2026-09-10 05:27
蕾語韓式輕奢皮膚管理,台中市西區,皮膚管理,營業中,中美街335號營業中,,2026-09-10 05:27
flashing beauty 雪｜美容｜做臉｜保養｜清粉刺｜皮膚管理｜抗老｜教學,台中市西區,皮膚管理,營業中,臺灣大道二段239號13樓營業中,,2026-09-10 05:27
Ré Lab 皮膚管理｜韓式皮膚管理與教學 | 手工清粉刺｜,台中市西區,皮膚管理,營業中,中美街375-3號營業中,,2026-09-10 05:27
CYJ伊啵예뻐 皮膚管理 台中站前店,台中市西區,皮膚管理,營業中,臺灣大道一段195號3樓營業中,,2026-09-10 05:27
唯完美肌膚管理,台中市西區,皮膚管理,營業中,中美街379巷5-1號2樓營業中,,2026-09-10 05:27
Anii studio｜熱蠟除毛｜無痛冰肌除毛｜韓式皮膚管理｜美背管理｜水飛梭 —台中店,台中市西區,皮膚管理,未知,民生路496巷18號24 小時營業,,2026-09-10 05:27
渡若日式皮膚管理,台中市西區,皮膚管理,營業中,智惠街31號3樓營業中,,2026-09-10 05:27
透美學 皮膚管理中心｜地毯式清粉刺｜無痛水飛梭｜熱蠟除毛｜G5體雕spa | 粉嫩術,台中市西區,皮膚管理,營業中,大容西街51號2樓之一營業中,,2026-09-10 05:27
茉朵莉亞-韓式皮膚管理、美睫,台中市西區,皮膚管理,營業中,市政路103號營業中,,2026-09-10 05:27
微醫未來尖端診所(血液淨化/EECP體外反搏/高壓氧/熊貓針/海菲秀/皮秒雷射/海神除毛),台中市東區,醫美,營業中,仁和路470-1號營業中,04 2280 0796,2026-09-10 05:27
復興漾格爾診所 - 醫美/皮秒/肉毒/玻尿酸/電波/音波拉提/雷射體雕/除毛/植髮育髮,台中市東區,醫美,營業中,復興路四段169號營業中,04 2222 1233,2026-09-10 05:27
微醫未來美學診所-台中店（台中南屯醫美診所推薦／台中海芙音波推薦／鼻線雕／電波音波拉提推薦／熊貓針／洢蓮絲／逆時針）,台中市東區,醫美,營業中,大墩路510號營業中,04 2320 2699,2026-09-10 05:27
d & Aesthetic Clinic Taichung 諦恩美學診所/醫美/微整,台中市東區,醫美,休息中/未營業,大智路43號已打烊,0911 950 173,2026-09-10 05:27
逸心美學診所,台中市東區,醫美,營業中,光復路148號2樓營業中,04 2206 0058,2026-09-10 05:27
苓利美學,台中市東區,醫美,營業中,"No. 102號, 精武東路營業中",04 2215 1341,2026-09-10 05:27
NewFace御美學－台中東區做臉推薦｜無痛清粉刺｜痘痘處理｜皮膚保養｜美容護膚｜近火車站,台中市東區,醫美,休息中/未營業,大公街19號已打烊,04 2222 4646,2026-09-10 05:27
台中韓娜斯美醫診所（大墩一館）-台中皮秒雷射｜台中整型｜台中育髮｜台中隆乳｜台中抽脂｜台中血液淨化｜台中鑽石水光｜台中鳳凰電波｜台中水光肝斑| 電音波拉皮 | 亞歷山大除毛 | 凹疤.痘疤.淡斑 | 台中微整形 | 台中醫美 | 台中醫美推薦,台中市東區,醫美,營業中,大墩路977號營業中,04 2327 2298,2026-09-10 05:27
昀漾美學診所 大墩店,台中市東區,醫美,營業中,"號 No. 945, No. 945號大墩路營業中",04 2310 9806,2026-09-10 05:27
睿恩樂業診所【六、日正常營業】耳鼻喉科｜小兒科、醫學美容、 肉毒、皮秒、海神除毛、除痣、除斑、瘦瘦針、微整形｜東區診所、東區耳鼻喉科,台中市東區,醫美,休息中/未營業,樂業路230號1樓已打烊,04 2215 1212,2026-09-10 05:27
雅典娜台中醫美診所,台中市東區,醫美,營業中,朝貴一街30號營業中,04 2382 0479,2026-09-10 05:27
宜人美學診所,台中市東區,醫美,營業中,臺灣大道三段582號秋紅谷廣場對面營業中,04 2251 3266,2026-09-10 05:27
Chu Sunki膚特美學,台中市東區,醫美,營業中,公園東路162號營業中,,2026-09-10 05:27
星醫美學院 台中,台中市東區,醫美,營業中,惠來路二段236號營業中,04 2259 8803,2026-09-10 05:27
協美診所,台中市東區,醫美,未知,自由路三段316號,,2026-09-10 05:27
嘉婕美學館,台中市東區,美學,營業中,大智路324號營業中,,2026-09-10 05:27
著靡美學Spa會館,台中市東區,美學,營業中,長福路236-1號營業中,,2026-09-10 05:27
科技美學中心,台中市東區,美學,營業中,和平街228巷50號1樓營業中,,2026-09-10 05:27
Shiny Star 星顏美學 台中東區,台中市東區,美學,營業中,建成路32號營業中,,2026-09-10 05:27
無私美學,台中市東區,美學,營業中,十甲路301號營業中,,2026-09-10 05:27
亞芸美學spa館『半永久霧眉』,台中市東區,美學,營業中,旱溪東路一段477號營業中,,2026-09-10 05:27
菱秐美學Spa,台中市東區,美學,營業中,自強街22-1號營業中,,2026-09-10 05:27
FEI FEI概念美學-東區店,台中市東區,美學,營業中,旱溪街396號營業中,,2026-09-10 05:27
嵐豫新中式美學,台中市東區,美學,營業中,育英路37-16號營業中,,2026-09-10 05:27
芷暮美學｜台中東區美甲｜採全預約制,台中市東區,美學,營業中,旱溪東路一段298號1樓營業中,,2026-09-10 05:27
無名美學｜NO NAME BEAUTY｜飄眉/霧眉/美睫/美甲/無痛除毛,台中市東區,美學,營業中,樂業南路152號營業中,,2026-09-10 05:27
顏瑀美學,台中市東區,美學,營業中,富榮街38-13號營業中,,2026-09-10 05:27
慕漾美學,台中市東區,美學,營業中,自由路四段352號營業中,,2026-09-10 05:27
舒舒美學 - 熱蠟美肌｜睫毛管理｜韓國3D染眉｜NUNU官方教學講師,台中市東區,美學,未知,自由二街61-1號,,2026-09-10 05:27
美人媮美學,台中市東區,美學,營業中,旱溪街266號營業中,,2026-09-10 05:27
克麗緹娜台中東區店（蒂妮亞美學館）,台中市東區,美學,營業中,建成路725號營業中,,2026-09-10 05:27
All In Skin 時尚美學館【北區孕婦舒壓按摩】臉部撥筋｜男士做臉肌膚管理｜美胸暖宮｜沉浸式深層按摩｜熱蠟美肌,台中市北區,美學,營業中,英士路55巷3-1號營業中,,2026-09-10 05:27
Umoment 悠時刻美學,台中市東區,美學,營業中,旱溪東路一段290-3號2F營業中,,2026-09-10 05:27
台中輕美容美學皮膚管理,台中市東區,美學,營業中,自由路四段323號營業中,,2026-09-10 05:27
MissMi極致美學 - 霧眉/霧唇/美瞳線/美甲/美睫/刺青/教學,台中市東區,美學,營業中,樂業南路148號營業中,,2026-09-10 05:27
御妍芝肌膚管理美學,台中市東區,肌膚管理,營業中,自由路四段337號營業中,,2026-09-10 05:27
悅言美學,台中市東區,肌膚管理,休息中/未營業,建德街350-6號已打烊,,2026-09-10 05:27
亞顏Young Yet🍀台中皮膚管理/按摩SPA,台中市東區,肌膚管理,營業中,力行路200巷38號營業中,,2026-09-10 05:27
日々hibi 東區｜肌膚管理｜全臉撥經｜眼部放鬆Spa｜緊緻管理,台中市東區,肌膚管理,未知,立德街39號3樓,,2026-09-10 05:27
露琺意LuVaii - 台中車站店,台中市東區,肌膚管理,營業中,台中路125號營業中,,2026-09-10 05:27
清揚婉皙-美麗中心,台中市東區,肌膚管理,營業中,東英九街10號營業中,,2026-09-10 05:27
Kiki beauty肌膚管理,台中市東區,肌膚管理,營業中,干城街293號營業中,,2026-09-10 05:27
Lohas skin care 樂活太平店,台中市東區,肌膚管理,營業中,祥順路一段438號營業中,,2026-09-10 05:27
巧顏肌膚管理｜清粉刺痘痘調理｜台中西區做臉,台中市西區,肌膚管理,營業中,五權八街145號營業中,,2026-09-10 05:27
MIJING覓境肌膚管理美學,台中市東區,肌膚管理,營業中,樹孝路712號營業中,,2026-09-10 05:27
A SKIN國際專業美容中心,台中市東區,肌膚管理,營業中,旱溪西路二段175號營業中,,2026-09-10 05:27
富富FuFull 皮膚管理中心 水飛梭 手工清粉刺 藻針 杏仁酸換膚 駐顏 臉部按摩 霧眉 修眉 除毛 美容做臉,台中市東區,肌膚管理,營業中,東英十街2號營業中,,2026-09-10 05:27
Facial Diary 保養日記,台中市東區,肌膚管理,未知,十甲東路793號即將開始營業,,2026-09-10 05:27
歐雅特美膚美體SPA生活館,台中市東區,肌膚管理,營業中,十甲東路254號營業中,,2026-09-10 05:27
OHNNII WHALLEY 皮膚管理中心,台中市東區,肌膚管理,營業中,福昌街11號營業中,,2026-09-10 05:27
高嘉君 保漾皮膚科診所（現場掛號，初診請帶雙證件）,台中市東區,皮膚科,休息中/未營業,台中路31號已打烊,04 2223 1123,2026-09-10 05:27
劉文麟皮膚科診所,台中市東區,皮膚科,休息中/未營業,太平路659號已打烊,04 2270 8058,2026-09-10 05:27
楊皮膚科診所,台中市東區,皮膚科,休息中/未營業,民族路155號已打烊,04 2227 5079,2026-09-10 05:27
緻妍外科診所,台中市東區,整形外科,營業中,新福路208號營業中,04 2395 0960,2026-09-10 05:27
仙杜瑞拉整形外科診所,台中市東區,整形外科,營業中,大墩七街327號2 樓營業中,04 2386 0808,2026-09-10 05:27
耀群美學診所 台中總院｜眼袋｜雙眼皮｜蘊髮｜抗老醫學｜皮秒雷射｜蝴蝶電波｜隆乳｜隆鼻,台中市東區,整形外科,營業中,東興路三段171號營業中,04 2320 1939,2026-09-10 05:27
睿豊診所–台中南區診所推薦|外傷|燙傷|復健|感冒|皮膚|醫美皮秒微針電音波|甲溝炎（凍甲）11：30及19：30止掛,台中市東區,整形外科,休息中/未營業,建國南路一段261號已打烊,04 2260 8588,2026-09-10 05:27
芯康診所,台中市東區,診所,休息中/未營業,樂業南路156號已打烊,04 2213 9666,2026-09-10 05:27
安東診所 (成人幼兒感冒、發燒、腸胃炎、腹痛、久咳、皮膚炎、三高慢性病連續處方、疫苗、針劑保養、減重門診、疲憊、男性落髮、健康檢查，癌症篩檢),台中市東區,診所,休息中/未營業,樂業路226號已打烊,04 2215 5788,2026-09-10 05:27
博佳耳鼻喉科診所,台中市東區,診所,休息中/未營業,樂業路220號已打烊,04 2320 6968,2026-09-10 05:27
惟康耳鼻喉科診所,台中市東區,診所,休息中/未營業,建成路662號已打烊,04 2280 8716,2026-09-10 05:27
詠馨診所,台中市東區,診所,休息中/未營業,大智路39號已打烊,04 2223 6216,2026-09-10 05:27
豊府診所,台中市東區,診所,休息中/未營業,旱溪東路一段293號已打烊,04 2212 6228,2026-09-10 05:27
明全診所,台中市東區,診所,休息中/未營業,建成路332之1號已打烊,04 2211 1257,2026-09-10 05:27
翔新診所,台中市東區,診所,休息中/未營業,十甲東路768號已打烊,04 2211 0707,2026-09-10 05:27
華幼診所,台中市東區,診所,休息中/未營業,進化路211號已打烊,04 2360 0099,2026-09-10 05:27
鍾榮輝診所,台中市東區,診所,休息中/未營業,建國路222之1號已打烊,04 2223 5326,2026-09-10 05:27
佑佑診所,台中市東區,診所,休息中/未營業,十甲路501號已打烊,04 2212 5628,2026-09-10 05:27
彭耳鼻喉科診所,台中市東區,診所,休息中/未營業,復興路四段54號已打烊,04 2221 5512,2026-09-10 05:27
忠純診所,台中市東區,診所,休息中/未營業,建成路721號已打烊,04 2280 7167,2026-09-10 05:27
榮生診所,台中市東區,診所,休息中/未營業,力行路80-5號已打烊,04 2360 9300,2026-09-10 05:27
富台診所,台中市東區,診所,休息中/未營業,富台街62號已打烊,04 2211 1611,2026-09-10 05:27
祐幼診所,台中市東區,診所,休息中/未營業,台中路119號121號已打烊,,2026-09-10 05:27
協和外科診所,台中市東區,診所,未知,大公街1號0937 723 801,,2026-09-10 05:27
全威診所,台中市東區,診所,休息中/未營業,力行路45號已打烊,04 2360 6146,2026-09-10 05:27
理解身心診所,台中市東區,診所,休息中/未營業,樂業一路61號已打烊,04 2215 2115,2026-09-10 05:27
來來聯合診所,台中市東區,診所,休息中/未營業,精武路104號已打烊,04 2360 7799,2026-09-10 05:27
陳國華小兒科診所,台中市東區,診所,休息中/未營業,進化路218之1號已打烊,04 2360 1245,2026-09-10 05:27
益家診所,台中市東區,診所,休息中/未營業,建成路3號已打烊,04 2212 1089,2026-09-10 05:27
晟安診所,台中市東區,診所,休息中/未營業,力行路76號已打烊,04 2360 2524,2026-09-10 05:27
心安診所,台中市東區,診所,休息中/未營業,力行路200巷26號已打烊,04 2360 3568,2026-09-10 05:27
品心診所｜台中神經內科｜台中功能醫學｜營養點滴｜Papimi｜ EECP｜失眠門診｜三高整合管理,台中市東區,診所,未知,台中路131號3樓即將開始營業,04 3702 6759,2026-09-10 05:27
懷恩診所-台中東區減重門診、瘦瘦針,台中市東區,診所,休息中/未營業,台中路67號已打烊,04 2220 3036,2026-09-10 05:27
立仁診所,台中市東區,診所,休息中/未營業,建成路775號已打烊,04 2281 6168,2026-09-10 05:27
兆揚內科診所,台中市東區,診所,未知,十甲路426號04 2212 1311,,2026-09-10 05:27
劉以文骨科診所--採現場掛號，無電話預約,台中市東區,診所,休息中/未營業,旱溪東路一段355～356號已打烊,04 2211 0198,2026-09-10 05:27
劉遠然家庭醫學科診所,台中市東區,診所,休息中/未營業,精武路61號已打烊,04 2213 4008,2026-09-10 05:27
賜安診所,台中市東區,泌尿科,未知,台中路81號04 2224 6698,,2026-09-10 05:27
華威診所/泌尿科：頻尿、膀胱炎、包皮炎、性病、結石、攝護腺肥大、性功能障礙/外科：雞眼、甲溝炎、外傷。,台中市東區,泌尿科,未知,民族路237號4樓暫時關閉,04 2222 0987,2026-09-10 05:27
精武復健科診所,台中市東區,骨科,休息中/未營業,東英路661號已打烊,04 2215 5511,2026-09-10 05:27
雄安骨科診所,台中市東區,骨科,休息中/未營業,國光路二段638號已打烊,04 2482 3000,2026-09-10 05:27
戴明勳骨外科診所,台中市東區,骨科,休息中/未營業,中興東路212號已打烊,04 2273 0883,2026-09-10 05:27
中國醫藥大學附設醫院台中東區分院,台中市東區,骨科,營業中,自由路三段296號營業中,,2026-09-10 05:27
和信骨科診所,台中市東區,骨科,休息中/未營業,德芳路一段63號3樓已打烊,04 2483 0848,2026-09-10 05:27
得仁堂整復推拿,台中市東區,骨科,未知,東光園路170號0918 918 382,,2026-09-10 05:27
精英聯合醫事機構,台中市東區,骨科,營業中,精武東路13號營業中,04 2215 5112,2026-09-10 05:27
馨禾診所,台中市東區,骨科,休息中/未營業,中興路二段111號已打烊,04 2483 6086,2026-09-10 05:27
骨科,台中市東區,骨科,未知,台中市東區,,2026-09-10 05:27
林士新婦產科診所,台中市東區,婦產科,休息中/未營業,復興路四段207號已打烊,04 2223 8148,2026-09-10 05:27
楊外科婦產科診所,台中市東區,婦產科,休息中/未營業,進化路96號已打烊,04 2212 4274,2026-09-10 05:27
育民外婦產科診所,台中市東區,婦產科,休息中/未營業,台中路73號已打烊,04 2229 0505,2026-09-10 05:27
台安醫院進化總院,台中市東區,婦產科,休息中/未營業,進化路203號已打烊,04 2360 2000,2026-09-10 05:27
家珊診所,台中市東區,婦產科,休息中/未營業,忠孝路5號已打烊,04 2285 1533,2026-09-10 05:27
何延慶婦產科診所,台中市東區,婦產科,休息中/未營業,東榮路157號已打烊,04 2481 3233,2026-09-10 05:27
芳英婦幼診所,台中市東區,婦產科,休息中/未營業,平等街9號已打烊,04 2222 9788,2026-09-10 05:27
安欣婦產科,台中市東區,婦產科,休息中/未營業,樹孝路6號已打烊,04 2392 5666,2026-09-10 05:27
劉玉麒婦產科診所,台中市東區,婦產科,休息中/未營業,樹孝路35號已打烊,04 2391 6689,2026-09-10 05:27
呂其嘉婦產科診所,台中市東區,婦產科,休息中/未營業,中平路151之5號151之5號已打烊,04 2275 0158,2026-09-10 05:27
林燕青婦產科診所,台中市東區,婦產科,休息中/未營業,中興東路216號已打烊,04 2273 0101,2026-09-10 05:27
陽光婦產科診所 生殖中心,台中市東區,婦產科,休息中/未營業,台中路12號已打烊,04 2221 2023,2026-09-10 05:27
太平惠欣婦產科,台中市東區,婦產科,休息中/未營業,新平路一段108號已打烊,04 2273 7419,2026-09-10 05:27
順氣美顏坊,台中市東區,醫學美容,營業中,東光園路336號營業中,,2026-09-10 05:27
緹縈SPA美顏館,台中市東區,醫學美容,營業中,自由路四段273號營業中,,2026-09-10 05:27
詩登麗國際美容 樂業店,台中市東區,美容,營業中,樂業路222號營業中,,2026-09-10 05:27
自然色SPA美學莊園,台中市東區,美容,營業中,立德街27號營業中,,2026-09-10 05:27
Wax&Wink 蠟研所台中東區店｜美學空間,台中市東區,美容,營業中,東光園路109號1樓營業中,,2026-09-10 05:27
Her.C 赫皙美妍｜台中東區紋繡,台中市東區,美容,營業中,育英路82-23號營業中,,2026-09-10 05:27
漾森舒壓美容館-預約制，請加官方line@856thkha 精油按摩 頭療SPA 臉部撥筋 舒壓按摩 Yang Sen Spa,台中市東區,美容,營業中,樂業一路135巷51號營業中,,2026-09-10 05:27
墨韵 Beauty Touch｜台中東區工作室｜日式睫毛管理｜半永久臥蠶｜微醺霧唇｜柔霧眉,台中市東區,美容,未知,育英路82-23號,,2026-09-10 05:27
洛里美甲Lori Nail Studio｜台中東區美甲｜凝膠美甲・客製設計・預約制,台中市東區,美容,營業中,樂業一路89號營業中,,2026-09-10 05:27
晶晴美容坊-東區經絡按摩|平價按摩|精油舒壓|美胸按摩/美容護膚/美睫/紋繡,台中市東區,美容,營業中,進化路234號營業中,,2026-09-10 05:27
Wen House｜美甲｜美睫｜霧眉｜東區美甲,台中市東區,美容,營業中,樂業一路135巷33號營業中,,2026-09-10 05:27
TIFFANY美學紋繡🍀霧眉•霧唇•護膚•清粉刺,台中市東區,美容,營業中,自由路四段營業中,,2026-09-10 05:27
東區博菲快妝&美容沙龍,台中市東區,美容,未知,福成街12號,,2026-09-10 05:27
ZenSpa美學舘_台中店,台中市東區,美容,營業中,台中路151號1樓營業中,,2026-09-10 05:27
99金妃SPA養生會館 台中養生會館 台中紓壓按摩 台中火車站按摩 東區全身油壓 東區紓壓按摩 東區SPA 太平養生館 越式洗髮,台中市東區,美容,營業中,自由路三段316號營業中,,2026-09-10 05:27
寶勝車體美研,台中市東區,美容,營業中,育英路19號營業中,,2026-09-10 05:27
匠心汽機車美妍中心‧台中東區振興＃漆面優化 ＃匠心汽機車美妍中心,台中市東區,美容,營業中,振興路257-3號營業中,,2026-09-10 05:27
［樂飛美睫專門店］台中✓客製化美睫✓韓國皮膚管理,台中市東區,皮膚管理,營業中,大智路427號營業中,,2026-09-10 05:27
Leona,台中市東區,皮膚管理,營業中,公園東路150號營業中,,2026-09-10 05:27
棻姐姐超顏值美學/八合一雞尾酒療法/新式皮膚管理/美睫,台中市東區,皮膚管理,未知,復興路四段20巷40號,,2026-09-10 05:27
葳妮韓式肌膚管理,台中市東區,皮膚管理,營業中,育賢路121號3樓營業中,,2026-09-10 05:27
Freely Beauty,台中市東區,皮膚管理,未知,台中市東區,,2026-09-10 05:27
國軍臺中總醫院醫美中心｜803,台中市中區,醫美,營業中,中山路二段348號2樓醫療大樓營業中,0978 830 803,2026-09-10 05:27
采風醫美-林新醫院美容中心,台中市中區,醫美,營業中,惠中路三段36號2樓營業中,04 3601 9769,2026-09-10 05:27
星和診所 台中醫美 - 標靶皮修丨夏娃電波丨賦活點滴丨立可檢丨皮秒雷射丨雷射除毛丨音波拉提丨水光注射丨玻尿酸丨肉毒丨增肌減脂丨肌動椅丨私密保養,台中市中區,醫美,營業中,惠來路二段232號營業中,04 2259 8809,2026-09-10 05:27
禾麗醫美診所-台中店,台中市中區,醫美,營業中,大墩十四街186號營業中,04 2328 8866,2026-09-10 05:27
Mdor美迪兒美學中心-台中台灣大道店,台中市中區,美學,營業中,臺灣大道一段317號營業中,,2026-09-10 05:27
MZM夢之眉Dream’s Brows職人手作美學（台中店）,台中市中區,美學,營業中,台中路192號營業中,,2026-09-10 05:27
BessieLady闆妹美學中心,台中市中區,美學,營業中,一中街162-31號營業中,,2026-09-10 05:27
IRIS’ 美學,台中市中區,美學,營業中,成功路421號營業中,,2026-09-10 05:27
復興美學製造所-美甲/美睫/熱蠟除毛/美容/教學,台中市中區,美學,營業中,復興路四段80號11樓營業中,,2026-09-10 05:27
B.a spa美學工作室 /韓式頭療髮浴/ 身體SPA,台中市中區,美學,未知,民族路219號4樓之1,,2026-09-10 05:27
Lady face 顏質美学,台中市中區,美學,營業中,雙十路一段117號2樓營業中,,2026-09-10 05:27
綺煦·美學 WISHE BEAUTY (國光店)｜日式除毛｜霧眉｜日式睫毛｜睫毛管理,台中市中區,美學,營業中,國光路126號3樓營業中,,2026-09-10 05:27
梨西美學｜美甲工作室,台中市中區,美學,營業中,成功路333號營業中,,2026-09-10 05:27
茉兒美學SPA (益民商圈),台中市中區,美學,營業中,錦新街32號1樓營業中,,2026-09-10 05:27
澄皙身心舒活室｜黑科技筋膜放鬆・精油按摩・運動按摩・美肌除毛・花精能量療癒・耳燭顱內放鬆｜台中按摩,台中市中區,肌膚管理,營業中,興中街128號營業中,,2026-09-10 05:27
喜洗臉CCLAN-三民成功店,台中市中區,肌膚管理,營業中,三民路二段133-2號營業中,,2026-09-10 05:27
女神美學-按摩｜spa |皮膚管理｜藻針｜清粉刺｜美胸｜護膚｜除毛,台中市中區,肌膚管理,未知,太平路19巷5弄9號,,2026-09-10 05:27
Lirios 美學中心,台中市中區,肌膚管理,營業中,美村南路173巷10號營業中,,2026-09-10 05:27
蔓活肌膚管理美學中心｜南區總店,台中市中區,肌膚管理,營業中,工學路157-1號2樓營業中,,2026-09-10 05:27
宏仁診所—專治蕁麻疹、帶狀皰疹(皮蛇)、性病 （菜花，披衣菌-尿道炎，性疱疹…）、香港腳、汗斑🔹特殊用藥|非健保🔹,台中市中區,皮膚科,休息中/未營業,中華路二段20號已打烊,04 2201 3441,2026-09-10 05:27
成美皮膚科診所,台中市中區,皮膚科,未知,三民路三段210之2號暫時關閉,04 2224 7787,2026-09-10 05:27
人生診所,台中市中區,整形外科,未知,綠川西街63號04 2224 3282,,2026-09-10 05:27
明祐耳鼻喉科診所,台中市中區,診所,休息中/未營業,民權路160號已打烊,04 2222 0007,2026-09-10 05:27
拉菲爾人本診所 (台中),台中市中區,診所,休息中/未營業,民權路60號3樓已打烊,080 000 0760,2026-09-10 05:27
林恆立耳鼻喉科聯合診所,台中市中區,診所,休息中/未營業,復興路三段339號已打烊,04 2220 0602,2026-09-10 05:27
新生耳鼻喉科診所,台中市中區,診所,休息中/未營業,三民路二段67號已打烊,04 2222 6331,2026-09-10 05:27
夏幸賢診所〔胃腸鏡檢查、BC肝追蹤治療、一般感冒、新冠治療、糖尿病照護、體重管理諮詢〕,台中市中區,診所,休息中/未營業,三民路一段152-3號已打烊,04 2222 7885,2026-09-10 05:27
新笙聯合診所,台中市中區,診所,休息中/未營業,民權路100號已打烊,04 2222 6166,2026-09-10 05:27
江啓鋒診所,台中市中區,診所,休息中/未營業,三民路二段151號已打烊,04 2226 8703,2026-09-10 05:27
台中洗腎 - 漢陽內科診所,台中市中區,診所,營業中,三民路二段42-1號營業中,04 2225 6666,2026-09-10 05:27
洪志青診所,台中市中區,診所,未知,民族路95號,,2026-09-10 05:27
許內科診所,台中市中區,診所,休息中/未營業,建國路175號已打烊,04 2223 0842,2026-09-10 05:27
端容眼科診所,台中市中區,診所,休息中/未營業,民族路55號已打烊,04 2222 2679,2026-09-10 05:27
白耳鼻喉科診所,台中市中區,診所,休息中/未營業,學府路152號已打烊,04 2222 0600,2026-09-10 05:27
林世峰診所,台中市中區,診所,未知,中山路111號,,2026-09-10 05:27
超群診所,台中市中區,診所,未知,臺灣大道一段21號,,2026-09-10 05:27
正心診所,台中市中區,診所,休息中/未營業,中華路一段107號已打烊,04 2227 6100,2026-09-10 05:27
